time/iterations,time/total_timesteps,time/time_elapsed,train/mean_reward,time/fps,train/reward,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/clip_range,train/entropy_loss
14,90112,174,0.10437746,164,0.37591866,0.141162109375,9.162981986999512,0.014621183,0.01711750030517578,430,0.0001,-0.016841331103933044,1.0333365201950073,20.028722757101058,0.2,-42.07912087440491
15,92160,185,0.1052935,165,1.657708,0.055419921875,101.4885482788086,0.008898461,0.01985722780227661,440,0.0001,-0.012710469387820921,1.033757209777832,131.60379124879836,0.2,-42.102072429656985
1,94208,11,0.105900414,184,10.285622,0.089453125,59.8841552734375,0.010669382,0.008689939975738525,450,0.0001,-0.01190649332565954,1.0346744060516357,107.70478751659394,0.2,-42.12108120918274
2,96256,22,0.10539121,180,-0.9674604,0.074365234375,7.934708595275879,0.011563379,0.04257309436798096,460,0.0001,-0.014731039150501602,1.0349007844924927,22.02520882487297,0.2,-42.13742897510529
3,98304,34,0.10510156,177,-1.0563036,0.02607421875,18.236909866333008,0.00559658,0.005886197090148926,470,0.0001,-0.01179128754301928,1.0354374647140503,86.9027408838272,0.2,-42.14814975261688
4,100352,46,0.105261646,175,0.0008789801,0.05888671875,21.944732666015625,0.010383287,0.02447265386581421,480,0.0001,-0.00777061971166404,1.0355350971221924,59.52350467443466,0.2,-42.15866117477417
5,102400,61,0.10600994,165,0.39396602,0.059326171875,30.360286712646484,0.0083764605,0.020042121410369873,490,0.0001,-0.012869237380800768,1.0361287593841553,71.0498316526413,0.2,-42.16582014560699
6,104448,84,0.10625626,146,-0.410393,0.146435546875,5.351081371307373,0.014252621,0.1250355839729309,500,0.0001,-0.01828536530956626,1.0373680591583252,12.691279178857803,0.2,-42.19181938171387
7,106496,98,0.10686825,146,-1.445802,0.089501953125,29.726316452026367,0.011087253,0.009663999080657959,510,0.0001,-0.01406641585926991,1.0382641553878784,63.99755262136459,0.2,-42.22358546257019
8,108544,110,0.10672649,147,3.675145,0.066015625,31.495771408081055,0.009980435,-0.032033324241638184,520,0.0001,-0.009876022218668368,1.038724660873413,98.83442423343658,0.2,-42.240848135948184
9,110592,123,0.106493935,149,0.8337359,0.0337890625,10.174490928649902,0.00622438,0.04211455583572388,530,0.0001,-0.009437133044411895,1.0389162302017212,23.347589671611786,0.2,-42.24892847537994
10,112640,136,0.10571511,149,0.33311492,0.098095703125,35.839664459228516,0.012561896,0.0365409255027771,540,0.0001,-0.01833036551834084,1.0400112867355347,60.35905532836914,0.2,-42.264056873321536
11,114688,150,0.10674955,149,-0.22328795,0.0541015625,21.240821838378906,0.0082192905,0.009377002716064453,550,0.0001,-0.011620490805944428,1.0407720804214478,87.20121161937713,0.2,-42.29404046535492
12,116736,163,0.10551005,150,-0.9756451,0.11875,37.85546112060547,0.013465585,-0.006231188774108887,560,0.0001,-0.010213452065363527,1.041887640953064,149.39332234859467,0.2,-42.31889312267303
13,118784,176,0.10504031,151,0.082563266,0.145263671875,7.296854019165039,0.013954876,-0.04042994976043701,570,0.0001,-0.02116685021028388,1.0428180694580078,21.812726747989654,0.2,-42.345960187911984
